submission_id,date_accident,heure_accident,region,type_accident,alcool
1,2025-11-17,09:53,Maritime,Renversement,Oui
2,2024-01-11,00:57,Kara,Sortie de route,Non
3,2024-11-27,11:12,Kara,Choc,Oui
4,2025-10-14,19:58,Maritime,Choc,Oui
5,2025-09-20,04:30,Centrale,Renversement,Non
6,2024-10-20,14:07,Savanes,Choc,Non
7,2024-04-25,10:00,Savanes,Sortie de route,Oui
8,2025-05-19,02:11,Lomé,Choc,Non
9,invalid-date,,Centrale,Renversement,Non
10,2024-07-30,23:55,Maritime,Renversement,Non
11,2024-06-22,12:00,,Sortie de route,Oui
6,32/13/2025,21:10,Centrale,Sortie de route,Non
13,2024-02-07,14:26,Maritime,Sortie de route,Oui
14,2024-09-06,04:25,Maritime,Renversement,Non
15,2025-07-13,20:55,Centrale,Renversement,Non
16,2025-05-19,11:31,Savanes,Choc,Non
17,2025-07-04,22:46,Kara,Collision,Non
18,,00:00,Kara,Sortie de route,Non
19,2025-05-11,00:36,Centrale,Choc,Non
20,32/13/2025,21:00,Centrale,Sortie de route,Oui
21,2024-02-10,07:00,Plateaux,Choc,Non
22,2025-12-29,14:20,Savanes,Renversement,Non
23,2025-08-04,14:42,Savanes,Collision,
24,2024-05-22,03:25,Maritime,Renversement,Oui
25,2025-01-03,05:23,Plateaux,Collision,Non
26,2025-11-21,12:02,Savanes,Choc,Non
27,2025-07-06,13:33,Savanes,Sortie de route,Non
28,2024-03-04,22:56,Plateaux,Sortie de route,Oui
29,2025-02-27,02:36,Centrale,Sortie de route,Non
30,2025-04-26,23:44,Maritime,Renversement,Oui
31,2025-04-25,,Lomé,Collision,Non
32,2025-04-12,16:41,Kara,Collision,Non
33,2024-04-15,05:02,Lomé,Choc,Oui
34,2024-01-30,10:03,Maritime,Renversement,Oui
35,2025-04-04,08:15,Maritime,Sortie de route,Non
36,2024-09-11,12:20,Centrale,Collision,Non
5,2025-10-15,21:08,Savanes,Collision,Non
38,2025-10-22,17:02,Savanes,Renversement,Non
39,2025-06-13,20:37,Lomé,Sortie de route,Oui
40,2025-12-15,13:04,Kara,Collision,
41,2024-11-19,11:02,Kara,Collision,Non
42,2024-03-22,23:40,Plateaux,Choc,Oui
43,32/13/2025,19:23,Maritime,Renversement,
44,2025-09-23,09:17,Lomé,Collision,Oui
45,2024-11-18,16:25,,Sortie de route,Oui
46,2024-03-27,08:48,Kara,Choc,Oui
47,2025-06-30,12:50,,Renversement,Oui
48,32/13/2025,18:44,Kara,Collision,Oui
45,2025-01-01,19:27,,Sortie de route,Oui
50,2024-12-26,15:52,Kara,Choc,Oui
51,2024-02-11,19:13,Maritime,Sortie de route,Oui
52,2024-07-22,06:54,Plateaux,Renversement,Oui
53,2025-06-14,08:53,Centrale,Choc,
54,32/13/2025,20:06,Kara,Sortie de route,Non
55,2025-12-23,09:30,Lomé,Choc,Non
56,2025-02-28,00:43,Savanes,Collision,Non
57,2025-02-11,99:99,Lomé,Choc,
58,2024-01-22,06:39,Centrale,Renversement,Non
59,2024-08-28,18:10,Maritime,Sortie de route,Non
60,2025-07-18,06:10,Kara,Collision,Non
61,2024-01-10,08:37,Kara,Collision,Oui
62,2025-12-20,09:39,Lomé,Renversement,Oui
63,2024-06-27,14:39,Lomé,Collision,Oui
64,2024-12-07,19:17,Maritime,Sortie de route,Non
65,2024-06-01,10:01,Maritime,Collision,Non
66,2025-04-07,12:10,,Choc,Non
67,2025-11-20,00:42,Centrale,Collision,Oui
68,2024-05-23,02:58,Kara,Choc,Oui
69,2025-12-07,14:18,Lomé,Choc,Non
70,2024-08-26,00:55,Lomé,Sortie de route,
71,2025-12-11,23:54,Savanes,Sortie de route,Oui
72,2025-06-03,17:56,Centrale,Choc,
73,2024-01-28,20:01,Savanes,Sortie de route,Non
74,2024-07-22,05:45,Lomé,Renversement,
75,2025-08-08,10:02,Kara,Choc,
76,invalid-date,04:50,Maritime,Collision,Non
77,2024-03-02,05:48,Lomé,Sortie de route,Oui
78,2025-07-02,01:39,Maritime,Choc,
79,2025-12-16,09:06,Maritime,Collision,Oui
80,2025-10-03,,Centrale,Sortie de route,
81,2025-12-23,04:24,Plateaux,Collision,Oui
82,2024-09-16,08:52,Savanes,Renversement,Oui
83,2025-01-13,12:08,Plateaux,Sortie de route,Non
84,2024-06-26,09:48,Maritime,Sortie de route,Non
85,2024-01-11,10:05,Plateaux,Choc,Non
86,2025-06-06,00:53,Maritime,Choc,Oui
87,2024-08-07,14:08,Lomé,Choc,Oui
88,2025-05-31,21:42,Lomé,Choc,Oui
89,2024-07-23,21:29,Plateaux,Renversement,Oui
90,invalid-date,05:45,Centrale,Choc,Oui
91,2025-02-20,23:44,Savanes,Sortie de route,Oui
92,2024-06-21,02:22,Kara,Collision,Oui
93,2024-11-24,05:08,Lomé,Sortie de route,Oui
